"",DS-2CE16C2T-IR 2.8,DS-2CE16C0T-IT3 16MM
Detección Facial,;,;,;
Ancho de Banda Grabación/,,,
Visualización,550 / 450,300 / 128,300 / 128
Salida de Vídeo,Sin Salida de Vídeo,VGA,VGA
Entradas/Salidas de Alarma,;,;,;
Interfaz de Red,2 x RJ45 10/100/1000,2 x RJ45 10/100/1000,2 x RJ45 10/100/1000
Puerto Teclado,;,;,;
No Máximo HDDs,4,4,4
RAID,RAID 5,RAID 5,RAID 5
Fuente Redundante,;,;,;
Alimentación,100 - 240 Vac,220 Vac,220 Vac
Alto x Ancho x Profundo (cm),4.20 x 48.20 x 59.80,4.20 x 48.20 x 59.40,4.20 x 48.20 x 59.40
Peso (kg),12.50,12.50,12.50
Disponibilidad,C,C,C
"",NVR6-STD-FORM-,NVR6-STD-FORM-,NVR6-STD-FORM-,NVR6-STD-FORM-,NVR6-STD-FORM-
"",D-16TB-S22-EU,D-16TB-W10-EU,D-24TB-S22-EU,D-32TB-S22-EU,D-48TB-S22-EU
Tecnología de Vídeo,IP,IP,IP,IP,IP
No Canales,,,,,
Analógicos,;,;,;,;,;
No Canales IP,200,90,90,90,90
No Canales PoE,;,;,;,;,;
Resolución Máxima IP,;,;,;,;,;
Análisis de Video,No,No,No,No,No
Hombre/Vehículo,;,;,;,;,;
Detección Facial,;,;,;,;,;
Ancho de Banda,,,,,
Grabación/,1500/800,1500/800,1500/800,1500/800,1500/800
Visualización,,,,,
Salida de Vídeo,Sin Salida de Vídeo,VGA,VGA,VGA,VGA
Entradas/Salidas de,,,,,
Alarma,;,;,;,;,;
Interfaz de Red,6 x RJ45 10/100/1000,6 x RJ45 10/100/1000,6 x RJ45 10/100/1000,6 x RJ45 10/100/1000,6 x RJ45 10/100/1000
Puerto Teclado,;,;,;,;,;
No Máximo HDDs,10,10,10,10,10
RAID,RAID 6,RAID 6,RAID 6,RAID 6,RAID 6
Fuente Redundante,;,;,;,;,;
Alimentación,100 - 240 Vac,100 - 240 Vac,100 - 240 Vac,100 - 240 Vac,100 - 240 Vac
Alto x Ancho x,,,,,
Profundo (cm),8.60 x 48.20 x 72.10,8.60 x 48.20 x 72.10,8.60 x 48.20 x 72.10,8.60 x 48.20 x 72.10,8.60 x 48.20 x 72.10
Peso (kg),28.60,28.60,28.60,28.60,28.60
Disponibilidad,C,C,C,C,C
"",NVR6-STD-FORM-D-,NVR6-PRM-FORM-D-,NVR6-PRM-FORM-D-,NVR6-PRM-FORM-D-
"",64TB-S22-EU,72TB-S22-EU,96TB-S22-EU,120TB-S22-EU
Tecnología de Vídeo,IP,IP,IP,IP
No Canales Analógicos,;,;,;,;
No Canales IP,90,200,200,46
No Canales PoE,;,;,;,;
Resolución Máxima IP,;,;,;,;
Análisis de Video,No,No,No,No
Hombre/Vehículo,;,;,;,;
Detección Facial,;,;,;,;
Ancho de Banda,,,,
Grabación/Visualización,1500/800,1500/800,1500/800,300 / 128
Salida de Vídeo,VGA,Sin Salida de Vídeo,Sin Salida de Vídeo,VGA
Entradas/Salidas de,,,,
Alarma,;,;,;,;
Interfaz de Red,6 x RJ45 10/100/1000,6 x RJ45 10/100/1000,6 x RJ45 10/100/1000,2 x RJ45 10/100/1000
Puerto Teclado,;,;,;,;
No Máximo HDDs,10,12,12,12
RAID,RAID 6,RAID 6,RAID 6,RAID 6
Fuente Redundante,;,;,;,;
Alimentación,100 - 240 Vac,100 - 240 Vac,100 - 240 Vac,100 - 240 Vac
Alto x Ancho x Profundo,,,,
"(cm)",8.60 x 48.20 x 72.10,8.60 x 48.20 x 72.10,8.60 x 48.20 x 72.10,8.60 x 48.20 x 72.10
Peso (kg),28.60,28.60,28.60,28.60
Disponibilidad,C,C,C,C
"",AINVR2-VAL-6TB-,AINVR2-VAL-12TB-,AINVR2-VAL-24TB-,AINVR2-STD-,AINVR2-STD-
"",EU,EU,EU,FORM-D-16TB-EU,FORM-D-24TB-EU
Tecnología de Vídeo,IP,IP,IP,-,IP
No Canales,,,,,
Analógicos,;,;,;,;,;
No Canales IP,90,90,90,130,130
No Canales PoE,;,;,;,;,;
Resolución Máxima IP,;,;,;,;,;
Análisis de Video,No,No,No,No,No
Hombre/Vehículo,;,;,;,;,;
Detección Facial,;,;,;,;,;
Ancho de Banda,,,,,
Grabación/,550 / 450,550 / 450,550 / 450,900 / 800,900 / 800
Visualización,,,,,
Salida de Vídeo,Sin Salida de Vídeo,Sin Salida de Vídeo,Sin Salida de Vídeo,Sin Salida de Vídeo,Sin Salida de Vídeo
Entradas/Salidas de,,,,,
Alarma,;,;,;,;,;
Interfaz de Red,2 x RJ45 10/100/1000,2 x RJ45 10/100/1000,6 x RJ45 10/100/1000,6 x RJ45 10/100/1000,6 x RJ45 10/100/1000
Puerto Teclado,;,;,;,;,;
No Máximo HDDs,2,4,2,10,10
RAID,RAID 5,RAID 5,RAID 5,RAID 6,RAID 6
Fuente Redundante,;,;,;,;,;
Alimentación,100 - 240 Vac,220 Vac,100 - 240 Vac,100 - 240 Vac,100 - 240 Vac
Alto x Ancho x,,,,,
Profundo (cm),4.20 x 48.20 x 59.80,8.60 x 18.00 x 29.50,4.20 x 48.20 x 59.80,8.68 x 48.20 x 77.20,8.60 x 48.20 x 48.20
Peso (kg),12.50,33.10,12.50,28.60,36.10
Disponibilidad,C,C,C,C,C
"",AINVR2-STD-FORM-D-,AINVR2-STD-FORM-D-,AINVR2-PRM-FORM-D-,
"",,,,ENVR2-PLUS-8P4-EU
"",32TB-EU,64TB-EU,96TB-EU,
Tecnología de Vídeo,IP,IP,IP,IP
No Canales Analógicos,;,;,;,;
No Canales IP,130,130,200,20
No Canales PoE,;,;,;,;
Resolución Máxima IP,;,;,;,;
Análisis de Video,No,No,No,No
Hombre/Vehículo,;,;,;,;
Detección Facial,;,;,120ch,;
Ancho de Banda,,,,
Grabación/Visualización,900 / 800,900 / 800,1500/800,130 / 80
Salida de Vídeo,Sin Salida de Vídeo,Sin Salida de Vídeo,Sin Salida de Vídeo,Sin Salida de Vídeo
Entradas/Salidas de,,,,
Alarma,;,;,;,;
Interfaz de Red,6 x RJ45 10/100/1000,6 x RJ45 10/100/1000,2 x RJ45 10/100/1000,2 x RJ45 10/100/1000
Puerto Teclado,;,;,;,;
No Máximo HDDs,10,10,12,1
RAID,RAID 6,RAID 6,RAID 6,No Soportado
Fuente Redundante,;,;,;,;
Alimentación,100 - 240 Vac,100 - 240 Vac,100 - 240 Vac,220 Vac
Alto x Ancho x Profundo,,,,
"(cm)",8.68 x 48.20 x 77.20,8.68 x 48.20 x 77.20,8.68 x 48.20 x 77.20,4.40 x 19.50 x 25.40
Peso (kg),28.60,28.60,36.10,1.14
Disponibilidad,C,C,C,C
"",,DS-2XS2T47G1-LDH-,,
"",DS-2XS2T41G1-ID-4G-,DS-2XS6A46G1-P-IZS-,,
"",,4G-C18S40(4MM)-O-,DS-2DE5425IWG-K-4G,
"",C05S07(4MM),C36S80(8-32MM),,
"",,STD-EU,,
Distancia Focal,4 mm,"4,0 mm 8 - 32 mm",,4.8 - 120 mm
Resolución,4 Mpx,4 Mpx 4 Mpx,,4 Mpx
LEDs,30 m IR,; 50 m IR,,150 m IR
"",,Objetos que aparecen o,,
Análisis de Video,No,Detección de Humanos entran en la zona de interés,,No
"",,Cruce de Linea,,
Exterior,IP66,IP67 IP66,,IP66
Panel Solar,80W,40W 80W,,4x 90W
Conectividad,4G,4G 4G,,4G
Batería Incluida,"Si, 1 x 51,46WH","Si, 2 x 8.4 Ah Si, 3 x 90WH",,"Si, 3 x 90WH"
Batería Adicional,-,- -,,12V 9Ah
Vida Batería Modo,,,,
Performance,-,3.6 días -,,2 días
Vida Batería Modo,,,,
Proactivo,1.5 días,6 días 8 días,,2.5 días
Vida Batería Modo Standby,11 días,30 días 80 días,,80 días
Temperatura de Trabajo,0 ~ 50oC,-20 ~ 50oC -20 ~ 60oC,,-30 ~ 65oC
Alimentación,12 Vdc,12 Vdc 12 Vdc,,12 Vdc
"",Descripción Corta,,,Disponibilidad
DS-2XS6K01-,"Kit panel solar de 80W. Incluye panel solar, caja de batería y soporte para montaje en",,,
"",,,,P
C36S80,pared o poste,,,
"",DS-2TD2617-3-QA,DS-2TD2617-6-QA,DS-2TD2617-10-QA
Tipo de Cámara,Bullet,Bullet,Bullet
Cámara Dual,;,;,;
Resolución cámara térmica,160 x 120,160 x 120,160 x 120
Resolución,4 Mpx,4 Mpx,4 Mpx
Distancia Focal,3 mm,6 mm,10 mm
"Ángulo de Apertura Cámara",,,
Térmica,50o,25o,"15,96o"
"Ángulo de Apertura Cámara",,,
Visible,84o,"39,42o","39,42o"
Analítica Embebida,;,;,;
Luz Blanca,;,;,;
Aumentos,;,;,;
Exterior,IP66,IP66,IP67
Anticorrosión,;,;,;
ATEX,;,;,;
Entradas/Salidas de Alarma,2e/2s,2e/2s,2e/2s
Tecnología de Vídeo,IP,IP,IP
Wiper,;,;,;
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af
Alto x Ancho x Profundo (cm),11.35 x 11.52 x 35.83,11.50 x 11.30 x 35.80,11.50 x 11.30 x 35.80
Peso (kg),1.76,1.71,1.71
Disponibilidad,A,C,B
"",DS-2TD2628T-3-QA,HM-TD3028T-2-Q
Tipo de Cámara,Bullet,Cubo Térmica
Cámara Dual,;,;
Resolución cámara térmica,256 x 192,256 x 192
Resolución,4 Mpx,4 Mpx
Distancia Focal,"4,0 mm","1,4 mm"
Analítica Embebida,;,;
Luz Blanca,;,;
Aumentos,x4,x4
Exterior,IP67,IP67
Anticorrosión,;,;
ATEX,;,;
Entradas/Salidas de Alarma,2e/2s,2s
Tecnología de Vídeo,IP,IP
Wiper,;,;
"",24 Vac,12 Vdc
Alimentación,,
"",PoE 802.3af,PoE 802.3af
Alto x Ancho x Profundo (cm),10.60 x 10.70 x 32.13,10.60 x 4.00 x 3.80
Peso (kg),1.55,0.34
Disponibilidad,B,P
"",DS-2TD2628-3-QA,DS-2TD2628-7-QA,DS-2TD2628-10-QA
Tipo de Cámara,Bullet,Bullet,Bullet
Cámara Dual,;,;,;
Resolución cámara térmica,256 x 192,256 x 192,256 x 192
Resolución,4 Mpx,4 Mpx,4 Mpx
Distancia Focal,"3,6 mm",7 mm,10 mm
"Ángulo de Apertura Cámara",,,
Térmica,50o,"24,5o",18o
"Ángulo de Apertura Cámara",,,
Visible,84o,53o,"39,42o"
Analítica Embebida,;,;,;
Luz Blanca,30m,30m,30m
Aumentos,;,;,;
Exterior,IP67,IP67,IP67
Anticorrosión,;,;,;
ATEX,;,;,;
Entradas/Salidas de Alarma,2e/2s,2e/2s,2e/2s
Tecnología de Vídeo,IP,IP,IP
Wiper,;,;,;
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af,12 Vdc / PoE 802.3af
Alto x Ancho x Profundo (cm),10.70 x 10.60 x 32.13,10.70 x 10.60 x 32.13,10.70 x 10.60 x 32.13
Peso (kg),1.55,1.55,1.55
Disponibilidad,A,A,A
"",DS-2TD2138-,DS-2TD2138-,DS-2TD2138-,DS-2TD2138-,DS-2TD2138-,DS-2TD2138-
"",4-QY,7-QY,10-QY,15-QY,25-QY,35-QY
Tipo de Cámara,Bullet,Bullet,Bullet,Bullet,Bullet,Bullet
Cámara Dual,;,;,;,;,;,;
Resolución cámara,,,,,,
térmica,384 x 288,384 x 288,384 x 288,384 x 288,384 x 288,384 x 288
Resolución,384 x 288,384 x 288,384 x 288,384 x 288,384 x 288,384 x 288
Distancia Focal,"4,0 mm",7 mm,10 mm,15 mm,25 mm,35 mm
"Ángulo de Apertura",,,,,,
Cámara Térmica,60o,42o,26o,17o,11o,7.47o
Analítica Embebida,;,;,;,;,;,;
Luz Blanca,;,;,;,;,;,;
Aumentos,;,;,;,x8,x8,;
Exterior,IP67,IP67,IP67,IP67,IP67,IP67
Anticorrosión,;,;,;,;,;,;
ATEX,;,;,;,;,;,;
Entradas/Salidas,,,,,,
de Alarma,2e/2s,2e/2s,2e/2s,2e/2s,2e/2s,2e/2s
Tecnología de,,CVBS,CVBS,CVBS,CVBS,
Vídeo,IP,IP,IP,IP,IP,IP
Wiper,;,;,;,;,;,;
"",12 Vdc,12 Vdc,12 Vdc,12 Vdc,12 Vdc,12 Vdc
Alimentación,24 Vac,24 Vac,24 Vac,24 Vac,24 Vac,24 Vac
"",PoE 802.3af,PoE 802.3af,PoE 802.3af,PoE 802.3af,PoE 802.3af,PoE 802.3af
Alto x Ancho x,,,,,,
Profundo (cm),11.52 x 11.30 x 35.13,11.52 x 11.30 x 35.13,11.52 x 11.30 x 35.13,11.52 x 11.30 x 35.13,11.52 x 11.30 x 35.13,11.52 x 11.30 x 35.13
Peso (kg),1.77,1.77,1.77,1.77,1.77,1.77
Disponibilidad,A,A,A,A,A,A
"",DS-2TD2138-13-QY,DS-2TD2138-10-Q(LITE),DS-2TD2138-15-Q(LITE),DS-2TD2138-25-Q(LITE)
Tipo de Cámara,Bullet,Bullet,Bullet,Bullet
Cámara Dual,;,;,;,;
Resolución cámara,,,,
térmica,384 x 288,384 x 288,384 x 288,384 x 288
Distancia Focal,13 mm,10 mm,15 mm,25 mm
Analítica Embebida,;,;,;,;
Luz Blanca,;,;,;,;
Aumentos,x8,x8,x8,x8
Exterior,IP67,IP67,IP67,IP67
Anticorrosión,;,;,;,;
Entradas/Salidas de,,,,
Alarma,2e/2s,2e/2s,2e/2s,2e/2s
Tecnología de Vídeo,IP,IP,IP,IP
Wiper,;,;,;,;
"",24 Vac,12 Vdc / 24 Vac,12 Vdc / 24 Vac,12 Vdc / 24 Vac
Alimentación,,,,
"",PoE 802.3af,PoE 802.3af,PoE 802.3af,PoE 802.3af
Alto x Ancho x Profundo,,,,
"(cm)",11.52 x 11.30 x 35.13,11.52 x 11.30 x 35.13,11.52 x 11.30 x 35.13,11.52 x 11.30 x 35.13
Peso (kg),1.77,1.77,1.77,1.77
Disponibilidad,B,A,A,A
"",HM-TD2638-35-G0-T1Y
Tipo de Cámara,Bullet
Cámara Dual,;
Resolución cámara térmica,384 x 288
Resolución,384 x 288
Distancia Focal,35 mm
"Ángulo de Apertura Cámara Térmica",7.5° × 5.6° (H × V)
"Ángulo de Apertura Cámara Visible",24.6° × 14° (H × V)
Analítica Embebida,;
Luz Blanca,;
Aumentos,x8
Exterior,IP67
Anticorrosión,;
ATEX,;
Entradas/Salidas de Alarma,2e/2s
Tecnología de Vídeo,IP
Wiper,;
"",12 Vdc
Alimentación,24 Vac
"",PoE 802.3af
Alto x Ancho x Profundo (cm),11.80 x 11.90 x 37.60
Peso (kg),1.82
Disponibilidad,C
"",DS-2TD2367-50-PY,DS-2TD2367-100-PY
Tipo de Cámara,Térmica IP,Térmica IP
Cámara Dual,;,;
Resolución cámara térmica,640 x 512,640 x 512
Resolución,640 x 512,640 x 512
Distancia Focal,50 mm,100 mm
"Ángulo de Apertura Cámara Térmica",12.42o,6.22o
Analítica Embebida,;,;
Luz Blanca,;,;
Aumentos,;,;
Exterior,IP67,IP66
Anticorrosión,;,;
ATEX,;,;
Entradas/Salidas de Alarma,2e/2s,2e/2s
Tecnología de Vídeo,IP,IP
Wiper,;,;
Alimentación,12 Vdc / 24 Vac / PoE+ 802.3at,12 Vdc / 24 Vac / PoE+ 802.3at
Alto x Ancho x Profundo (cm),17.10 x 40.00 x 53.50,17.10 x 40.00 x 53.50
Peso (kg),6.40,6.40
Disponibilidad,P,P
"",TNO-3010T,TNO-3020T,TNO-3030T,TNO-3040T,TNO-3050T
Tipo de Cámara,Térmica IP,Térmica IP,Térmica IP,Térmica IP,Térmica IP
Cámara Dual,;,;,;,;,;
Resolución cámara,,,,,
térmica,320 x 240,320 x 240,320 x 240,320 x 240,320 x 240
Resolución,320 x 240,320 x 240,320 x 240,320 x 240,320 x 240
Distancia Focal,2.7 mm,4.7 mm,13 mm,19 mm,35 mm
"Ángulo de Apertura",,,,,
Cámara Térmica,92o,50o,16o,11.5o,6.3o
Analítica Embebida,;,;,;,;,;
Luz Blanca,;,;,;,;,;
Aumentos,;,;,;,;,;
Exterior,IP66,IP66,IP66,IP66,IP66
Anticorrosión,;,;,;,;,;
ATEX,;,;,;,;,;
Entradas/Salidas de,,,,,
Alarma,1e/2s,1e/2s,1e/2s,1e/2s,1e/2s
Tecnología de Vídeo,IP,IP,IP,IP,IP
Wiper,;,;,;,;,;
"",12 Vdc / 24 Vac,12 Vdc / 24 Vac,12 Vdc / 24 Vac,12 Vdc / 24 Vac,12 Vdc / 24 Vac
Alimentación,,,,,
"",PoE 802.3af,PoE 802.3af,PoE 802.3af,PoE 802.3af,PoE 802.3af
Alto x Ancho x,,,,,
Profundo (cm),14.75 x 14.75 x 37.53,14.75 x 14.75 x 37.53,14.75 x 14.75 x 37.53,14.75 x 14.75 x 37.53,14.75 x 14.75 x 40.13
Peso (kg),2.51,2.51,2.51,2.50,2.74
Disponibilidad,C,C,C,C,C
"",320F-H5A-THC-BO50,320F-H5A-THC-BO12
Tipo de Cámara,Térmica IP,Térmica IP
Cámara Dual,;,;
Resolución cámara térmica,320 x 256,320 x 256
Distancia Focal,"4,3 mm",18 mm
"Ángulo de Apertura Cámara Térmica","46,9o",12.2o
Analítica Embebida,;,;
Luz Blanca,;,;
Aumentos,;,;
Exterior,IP67,IP67
Anticorrosión,;,;
ATEX,;,;
Entradas/Salidas de Alarma,1e/1s,1e/1s
Tecnología de Vídeo,IP,IP
Wiper,;,;
"",12 Vdc / 24 Vac,
Alimentación,,12 Vdc / 24 Vac / PoE 802.3af
"",PoE 802.3af,
Alto x Ancho x Profundo (cm),10.60 x 12.60 x 28.90,10.60 x 12.60 x 30.00
Peso (kg),1.46,1.92
Disponibilidad,C,C
"",DS-2XE6222F-IS(4MM)-316L@,TNO-6322ER,DS-2TD2528T-3-Q
Tipo de Cámara,Sistema Antideflagrante,Bullet,Termográfica
Resolución,2 Mpx,2 Mpx,4 Mpx
Cámara Dual,;,;,;
Distancia Focal,"4,0 mm","4,44 - 142,6 mm","4,0 mm"
Aumentos,;,x32,;
LEDs,30 m IR,70 m IR,30 m IR
Entradas/Salidas de Alarma,2e/2s,1e/1s,2e/2s
Grado de Protección,,,
Antivandálica,IK10,IK10,;
Tecnología de Vídeo,IP,IP,IP
Slot SD,Micro SD (128 GB),;,Micro SD (256 GB)
WDR,120 dB,120 dB,120 dB
Wiper,;,;,;
"",220 Vac,,100 - 240 Vac
Alimentación,,24 Vac,
"",PoE 802.3af,,PoE 802.3af
Alto x Ancho x Profundo (cm),17.40 x 17.20 x 22.13,157.50 x 24.20 x 32.00,14.80 x 15.00 x 28.60
Peso (kg),7.40,11.50,5.85
Disponibilidad,P,C,P
"",TNU-6322E,TNU-6322ER
Tipo de Cámara,Posicionador PTZ,Posicionador PTZ
Resolución,2 Mpx,2 Mpx
Cámara Dual,;,;
Distancia Focal,"4,44 - 142,6 mm","4,44 - 142,6 mm"
Aumentos,x32,x32
Giro Vertical,180o (+90o a -90o),180o (+90o a -90o)
LEDs,;,200 m IR
Entradas/Salidas de Alarma,1e/1s,1e/1s
Grado de Protección Antivandálica,IK10,IK10
Tecnología de Vídeo,IP,IP
Slot SD,;,;
WDR,120 dB,120 dB
Wiper,;,;
Alimentación,24 Vac,24 Vac
Alto x Ancho x Profundo (cm),35.50 x 42.70 x 23.50,61.10 x 43.80 x 23.50
Peso (kg),25.00,36.00
Disponibilidad,C,C
"",AE-VC224T-IT(2.8MM)
Tipo de Cámara,Portable
Resolución,2 Mpx
Tecnología de Vídeo,HD - TVI
Tipo de Óptica,Fija
Distancia Focal,"2,8 mm"
"Ángulo de Ajuste",3 ejes
LEDs,10 m IR
Luz Blanca,;
WDR,;
Iluminación Mínima,0.1lux
Análisis de Video,No
Entradas/Salidas de Alarma,;
Entrada/Salida Audio,;
Slot SD,;
WIFI,;
Exterior,IP68
Grado de Protección Antivandálica,IK10
Soporte Pared,No
Soporte Base,No
Soporte Techo,No
Soporte Poste,No
Soporte Esquina,No
Soporte Empotrado,No
Alimentación,9 - 16 Vdc
Alto x Ancho x Profundo (cm),7.40 x 6.50 x 5.70
Peso (kg),0.20
Disponibilidad,P
"",DS-MH2311-32G-GLE
Tipo de Cámara,Portable
Resolución,2 Mpx
Tecnología de Vídeo,IP
Tipo de Óptica,Fija
Distancia Focal,2.4 mm
"Ángulo de Ajuste",;
LEDs,10 m IR
Luz Blanca,;
WDR,;
Iluminación Mínima,0.15 lux
Análisis de Video,No
Entradas/Salidas de Alarma,;
Entrada/Salida Audio,;
Slot SD,;
WIFI,;
Exterior,IP67
Grado de Protección Antivandálica,;
Soporte Pared,No
Soporte Base,No
Soporte Techo,No
Soporte Poste,No
Soporte Esquina,No
Soporte Empotrado,No
Alimentación,5 Vdc
Peso (kg),0.13
Disponibilidad,P
"",AE-MN5083-M12
No Canales Analógicos,;
No Canales IP,8
Resolución Máxima IP,2 Mpx
Análisis de Video,No
Hombre/Vehículo,;
Detección Facial,;
Ancho de Banda Grabación/Visualización,;
Salida de Vídeo,VGA
Entradas/Salidas de Alarma,1e/1s
Interfaz de Red,1 x RJ45 10/100
Puerto Teclado,;
No Máximo HDDs,1
RAID,No Soportado
Fuente Redundante,;
Alimentación,9 - 32 Vdc
Alto x Ancho x Profundo (cm),6.30 x 18.40 x 19.00
Peso (kg),1.58
Disponibilidad,P
"",DS-6701HUHI,SPE-420,SPE-1630
"",HD - TVI,HD - TVI,HD - TVI
"",AHD,AHD,AHD
Tecnología de Vídeo,,,
"",CVBS,CVBS,CVBS
"",HD - CVI,HD - CVI,HD - CVI
No Canales,1,4,16
Alto x Ancho x Profundo (cm),4.75 x 11.40 x 16.25,3.40 x 17.80 x 12.78,4.40 x 37.00 x 32.00
Peso (kg),1.50,0.52,2.32
Disponibilidad,B,C,B
"",DS-6901UDI,SPD-152,DS-6904UDI,DS-6908UDI,DS-6912UDI,DS-6916UDI
No Canales,1,64,4,8,12,16
"",HDMI,,,,,
Tecnología de,,,HDMI,HDMI,HDMI,HDMI
Vídeo,VGA,IP,BNC,BNC,BNC,BNC
"",BNC,,,,,
"",2ch a 12Mpx,,30ch a 2Mpx,8ch a 12Mpx,12ch a 12Mpx,16ch a 12Mpx
"",6ch a 5Mpx,1ch a 8Mpx,4ch a 12Mpx,16ch a 8Mpx,24ch a 8Mpx,32ch a 8Mpx
Decodificación,10ch a 3Mpx,4ch a 2Mpx,8ch a 8Mpx,24ch a 5Mpx,36ch a 5Mpx,48ch a 5Mpx
"",16ch a 2Mpx,64ch a D1,12ch a 5Mpx,40ch a 3Mpx,60ch a 3Mpx,80ch a 3Mpx
"",4ch a 8Mpx,,20ch a 3Mpx,64ch a 2Mpx,96ch a 2Mpx,128ch a 2Mpx
Entradas/Salidas,,,,,,
de Alarma,8e/8s,;,8e/8s,8e/8s,8e/8s,8e/8s
Alto x Ancho x,,,,4.45 x 44.00 x,,
Profundo (cm),4.50 x 14.80 x 22.00,3.40 x 14.00 x 11.50,4.45 x 31.10 x 44.00,32.08,8.00 x 44.00 x 31.10,8.00 x 44.00 x 31.10
Peso (kg),1.20,2.00,5.60,4.60,6.40,6.40
Disponibilidad,A,B,C,A,C,C
"",DS-2XC6142FWD-IS(2.8MM),XNV-6080RSA,DS-2XC6027G0-LS(2.8MM)
Tipo de Cámara,Minidomo,Minidomo,Bullet
Resolución,4 Mpx,2 Mpx,2 Mpx
Tecnología de Vídeo,IP,IP,IP
Tipo de Óptica,Fija,Motorizada,Fija
Distancia Focal,"2,8 mm","2,8 - 12 mm","2,8 mm"
"Ángulo de Ajuste",3 ejes,3 ejes,3 ejes
LEDs,10 m IR,50 m IR,;
Luz Blanca,;,;,40m
WDR,120 dB,150 dB,120 dB
Iluminación Mínima,0.01lux,0.015lux,0.001lux
"",,,Hombre / Vehículo
"",VCA,VCA,Objetos que aparecen o entran en l
Análisis de Video,,,
"",Detección de Movimiento,Detección de Rostros,zona de interés
"",,,Cruce de Linea
Entradas/Salidas de Alarma,1e/1s,1e/1s,1e/1s
Entrada/Salida Audio,;,1e/1s,1e/1s
Slot SD,Micro SD (128 GB),2 x Micro SD (512 GB),Micro SD (1TB)
WIFI,;,;,;
Exterior,IP67,IP66,IP68
Grado de Protección,,,
Antivandálica,;,IK10,;
Soporte Pared,DS-1705ZJ-DM35-Y3(OS),No,DS -1280ZJ-S-428C -ACY
Soporte Base,DS-1284ZJ-M-AC 3(OS),No,No
Soporte Techo,No,No,No
Soporte Poste,No,No,No
Soporte Esquina,No,No,No
Soporte Empotrado,No,No,No
"",,,9 - 36 vdc
Alimentación,12 Vdc / PoE 802.3af,12 Vdc / 24 Vac / PoE 802.3af,
"",,,PoE 802.3af
Alto x Ancho x Profundo (cm),11.30 x 11.30 x 7.73,12.05 x 16.20 x 16.20,9.10 x 10.50 x 25.00
Peso (kg),1.68,2.68,0.76
Disponibilidad,P,C,P
"",DS-2DT6223-AELY
Aumentos,x23
Resolución,2 Mpx
LEDs,;
"",IP
Tecnología de Vídeo,
"",BNC
Giro Continuo,;
WDR,120 dB
Análisis de Video,VCA
Entradas/Salidas de Alarma,7e/2s
Exterior,IP67
Grado de Protección Antivandálica,IK10
Wiper,;
Anticorrosión,;
Slot SD,Micro SD (256 GB)
Soporte Pared,No
Soporte Base,No
Soporte Techo,No
Soporte Poste,No
Soporte Esquina,No
Soporte Empotrado,No
Soporte Suspendido,No
Alimentación,24 Vac / Hi-PoE 802.3bt
Alto x Ancho x Profundo (cm),33.00 x 26.20 x 26.20
Peso (kg),10.00
Disponibilidad,P
"",Descripción Corta,Disponibilidad
"",Caja de conexión antiexplosión ATEX (Zona 1 a 22) y IECEx de acero,
DS-2780ZJ-X(OS)-316L,,P
"","inoxidable 316L, IP68, 4 conectores (M25 x1.5)",
"",DS-QAZ1307G1T-E
Tipo de Altavoz,Superficie
Potencia (W),"7,0000"
Potencia Acústica,121 dBSPL
Material Carcasa,Metal
Color Altavoz,Blanco
Protección IP,IP67
Alto x Ancho x Profundo (cm),40.00 x 23.70 x 27.60
Peso (kg),2.10
Disponibilidad,B
"",Descripción Corta,Disponibilidad
"",Módulo IOT para gestión de 32 entradas (digitales)/32 salidas (relé) compatible con servidores de analítica,
CSM-KC868-A32,,A
"",perimetral Davantis. Alimentador 12V incl.,
"",Descripción Corta,Disponibilidad
DFUSION 02,Sistema de vídeo análisis para 2 canales IP. DFusion con Deep Learning. Rack,A
DFUSION 03,Sistema de vídeo análisis para 3 canales IP. DFusion con Deep Learning. Rack,B
DFUSION 04,Sistema de vídeo análisis para 4 canales IP. DFusion con Deep Learning. Rack,A
DFUSION 05,Sistema de vídeo análisis para 5 canales IP. DFusion con Deep Learning. Rack,B
DFUSION 06,Sistema de vídeo análisis para 6 canales IP. DFusion con Deep Learning. Rack,A
DFUSION 07,Sistema de vídeo análisis para 7 canales IP. DFusion con Deep Learning. Rack,A
DFUSION 08,Sistema de vídeo análisis para 8 canales IP. DFusion con Deep Learning. Rack,A
DFUSION 09,Sistema de vídeo análisis para 9 canales IP. DFusion con Deep Learning. Rack,A
DFUSION 10,Sistema de vídeo análisis para 10 canales IP. DFusion con Deep Learning. Rack,A
DFUSION 11,Sistema de vídeo análisis para 11 canales IP. DFusion con Deep Learning. Rack,A
DFUSION 12,Sistema de vídeo análisis para 12 canales IP. DFusion con Deep Learning. Rack,B
DFUSION 13,Sistema de vídeo análisis para 13 canales IP. DFusion con Deep Learning. Rack,B
DFUSION 14,Sistema de vídeo análisis para 14 canales IP. DFusion con Deep Learning. Rack,C
DFUSION 15,Sistema de vídeo análisis para 15 canales IP. DFusion con Deep Learning. Rack,B
DFUSION 16,Sistema de vídeo análisis para 16 canales IP. DFusion con Deep Learning. Rack,B
